Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
9.3,0.016047301,4,21,1,2,3735.138,False,True,False,False
5.92,0.019278216,1,11,1,0,443.4228,False,False,True,False
17.5,0.016760075,2,21,1,2,2097.27,False,True,False,False
19.2,0.0,3,22,0,0,732.38,True,False,False,False
8.93,0.0,1,33,2,0,994.7052,False,True,False,False
10.395,0.0,1,11,1,0,556.6088,False,False,True,False
13.65,0.012741089,1,33,2,0,343.5528,False,True,False,False
19.0,0.127469857,2,35,1,0,4022.7636,False,False,False,True
16.2,0.016687114,2,18,0,1,1076.5986,False,True,False,False
19.2,0.09444959,4,13,0,1,4710.535,False,True,False,False
11.8,0.0,1,21,1,2,1516.0266,False,True,False,False
18.5,0.045463773,3,23,0,2,2187.153,False,True,False,False
15.1,0.1000135,3,21,1,2,1589.2646,False,True,False,False
17.6,0.047257328,2,23,0,2,2145.2076,False,True,False,False
16.35,0.0680243,4,33,2,0,1977.426,False,True,False,False
9.0,0.069088961,1,23,0,2,1547.3192,False,True,False,False
11.8,0.008596051,2,11,1,0,1621.8888,False,False,True,False
9.0,0.069196376,1,21,1,2,718.3982,False,True,False,False
8.26,0.034237682,2,35,1,0,2303.668,False,False,False,True
13.35,0.10249212,4,16,0,1,2748.4224,False,True,False,False
18.85,0.138190277,4,33,2,0,3775.086,False,True,False,False
8.315,0.035399923,3,35,1,0,4064.0432,False,False,False,True
14.6,0.025698134,4,16,0,1,1587.2672,False,True,False,False
15.5,0.057556998,2,35,0,2,214.3876,True,False,False,False
13.85,0.025896485,3,23,0,2,4078.025,False,True,False,False
13.0,0.099887103,1,13,0,1,838.908,False,True,False,False
7.645,0.066693437,1,16,0,1,1065.28,False,True,False,False
11.65,0.019356132,1,33,2,0,308.9312,False,True,False,False
5.925,0.161466534,1,22,0,0,178.4344,True,False,False,False
14.5,0.072221801,1,35,0,2,125.8362,True,False,False,False
19.25,0.170348551,1,22,0,0,163.7868,True,False,False,False
18.6,0.080829372,2,11,1,0,2741.7644,False,False,True,False
18.7,0.0,4,11,1,0,3068.0064,False,False,True,False
17.85,0.0,1,18,0,1,2174.5028,False,True,False,False
17.5,0.097904029,3,23,0,2,2085.2856,False,True,False,False
10.0,0.089291137,3,21,1,2,3791.0652,False,True,False,False
20.2,0.059511812,2,35,1,0,2797.6916,False,False,False,True
8.85,0.113123893,2,11,1,0,1609.9044,False,False,True,False
6.385,0.123111453,1,35,1,0,388.1614,False,False,False,True
15.25,0.026480954,1,35,1,0,2180.495,False,False,False,True
13.35,0.102511504,4,23,0,2,3435.528,False,True,False,False
9.8,0.02681843,2,33,2,0,2150.534,False,True,False,False
13.6,0.117818348,4,21,1,2,2527.3768,False,True,False,False
21.35,0.069102831,4,11,1,0,6768.5228,False,False,True,False
12.15,0.042277867,2,33,2,0,373.5138,False,True,False,False
6.42,0.089498926,3,22,0,0,358.2004,True,False,False,False
19.6,0.0,3,18,0,1,2428.8384,False,True,False,False
10.0,0.025879577,4,18,0,1,5815.0972,False,True,False,False
15.85,0.121632721,1,23,0,2,2576.646,False,True,False,False
10.195,0.255394896,4,35,0,2,780.3176,True,False,False,False
7.39,0.067779712,3,23,0,2,3134.5864,False,True,False,False
10.195,0.159803853,2,33,2,0,850.8924,False,True,False,False
9.895,0.028696932,2,33,2,0,810.9444,False,True,False,False
10.895,0.065041581,4,13,0,1,3121.2704,False,True,False,False
12.15,0.028760013,3,13,0,1,4815.0656,False,True,False,False
7.905,0.010053105,4,11,1,0,6258.52,False,False,True,False
9.195,0.048157338,2,18,0,1,2117.244,False,True,False,False
8.365,0.071958197,1,21,1,2,796.9626,False,True,False,False
15.1,0.173481304,4,23,0,2,4910.275,False,True,False,False
5.94,0.061082177,3,35,0,2,892.172,True,False,False,False
10.0,0.0,4,11,1,0,3185.1872,False,False,True,False
7.97,0.040071131,1,18,0,1,1062.6168,False,True,False,False
6.215,0.012090074,1,35,1,0,484.7024,False,False,False,True
15.5,0.15028599,1,35,0,2,147.8076,True,False,False,False
17.5,0.026015519,4,35,1,0,2543.356,False,False,False,True
17.7,0.195068226,3,22,0,0,184.4266,True,False,False,False
19.35,0.033082215,3,16,0,1,4865.6664,False,True,False,False
13.65,0.078946455,4,18,0,1,1118.544,False,True,False,False
17.6,0.041700756,3,18,0,1,2302.3364,False,True,False,False
8.645,0.143422643,2,23,0,2,2027.361,False,True,False,False
15.6,0.105296072,3,23,0,2,3435.528,False,True,False,False
15.85,0.121531501,1,33,2,0,599.22,False,True,False,False
18.25,0.0,3,18,0,1,4604.6728,False,True,False,False
7.855,0.011324862,4,13,0,1,2285.0256,False,True,False,False
7.825,0.186357148,4,21,1,2,5580.7356,False,True,False,False
8.39,0.024205661,2,23,0,2,2290.352,False,True,False,False
12.85,0.033230816,3,21,1,2,1207.0954,False,True,False,False
13.35,0.113720344,1,35,0,2,643.1628,True,False,False,False
19.0,0.112556507,2,13,0,1,1587.933,False,True,False,False
5.905,0.0,4,18,0,1,5305.0944,False,True,False,False
7.76,0.059352241,2,23,0,2,1697.79,False,True,False,False
11.8,0.014087057,3,23,0,2,1427.4752,False,True,False,False
16.75,0.045230944,4,11,1,0,4693.89,False,False,True,False
18.85,0.293417759,4,35,0,2,583.2408,True,False,False,False
12.6,0.031382044,3,35,1,0,3091.9752,False,False,False,True
15.5,0.12639886,3,13,0,1,2479.4392,False,True,False,False
6.055,0.025403898,3,16,0,1,2716.464,False,True,False,False
20.2,0.039057677,3,35,1,0,3285.723,False,False,False,True
6.305,0.123115764,2,23,0,2,661.8052,False,True,False,False
20.85,0.039624006,2,21,1,2,1523.3504,False,True,False,False
20.75,0.040421193,2,22,0,0,369.519,True,False,False,False
8.895,0.105274111,1,21,1,2,690.4346,False,True,False,False
19.6,0.033970195,1,18,0,1,1381.535,False,True,False,False
19.7,0.053212652,1,16,0,1,622.523,False,True,False,False
9.8,0.024378706,2,16,0,1,1274.3412,False,True,False,False
7.93,0.009714595,2,35,0,2,487.3656,True,False,False,False
12.15,0.131383762,4,21,1,2,1231.73,False,True,False,False
8.75,0.07461309,4,16,0,1,3755.112,False,True,False,False
12.15,0.028459761,3,35,1,0,4363.6532,False,False,False,True
8.75,0.074627201,4,23,0,2,1314.2892,False,True,False,False
13.3,0.063695084,3,18,0,1,1805.6496,False,True,False,False
20.6,0.045797829,3,35,1,0,2854.9504,False,False,False,True
8.31,0.115857223,3,21,1,2,3896.2616,False,True,False,False
16.75,0.024832806,1,33,2,0,667.7974,False,True,False,False
19.75,0.034027909,4,11,1,0,3185.853,False,False,True,False
17.1,0.0467696,2,33,2,0,2247.7408,False,True,False,False
10.5,0.116576702,3,33,2,0,1794.331,False,True,False,False
6.635,0.0,2,18,0,1,2530.7058,False,True,False,False
9.395,0.278974075,4,35,0,2,679.116,True,False,False,False
14.15,0.035913805,1,33,2,0,812.276,False,True,False,False
13.3,0.079806266,4,23,0,2,699.09,False,True,False,False
8.89,0.005505481,2,13,0,1,2732.4432,False,True,False,False
6.69,0.064625342,3,35,0,2,176.437,True,False,False,False
6.195,0.071636937,2,35,1,0,4097.3332,False,False,False,True
9.1,0.0,3,18,0,1,3151.8972,False,True,False,False
7.5,0.032677678,4,21,1,2,5942.265,False,True,False,False
16.85,0.160760054,4,13,0,1,4843.695,False,True,False,False
7.485,0.06911065,2,16,0,1,2542.0244,False,True,False,False
11.6,0.041177505,2,13,0,1,2552.6772,False,True,False,False
11.65,0.040081193,4,11,1,0,1141.847,False,False,True,False
13.0,0.035307322,1,13,0,1,680.4476,False,True,False,False
12.65,0.063017847,3,18,0,1,2085.9514,False,True,False,False
20.25,0.171938781,1,22,0,0,186.424,True,False,False,False
8.6,0.040197932,4,16,0,1,3036.048,False,True,False,False
12.6,0.049058014,1,13,0,1,866.8716,False,True,False,False
17.7,0.01161096,2,16,0,1,868.869,False,True,False,False
14.15,0.183507295,1,23,0,2,1137.1864,False,True,False,False
19.25,0.102349519,1,13,0,1,928.1252,False,True,False,False
8.88,0.086708987,3,33,2,0,762.341,False,True,False,False
20.5,0.032835147,1,18,0,1,707.0796,False,True,False,False
12.0,0.033809913,3,35,1,0,7968.2944,False,False,False,True
13.5,0.07266912,3,23,0,2,1438.128,False,True,False,False
